transaction_id,date,transaction_type,category,merchant,amount,payment_method
TXN01917,2025-01-01,Income,Investment,Client,20714.68,UPI
TXN00955,2025-01-01,Expense,Other,Electricity Board,1082.53,Debit Card
TXN00959,2025-01-01,Expense,Transport,BigBasket,5497.39,UPI
TXN01348,2025-01-01,Expense,Food,BigBasket,13109.26,Bank Transfer
TXN01182,2025-01-02,Expense,Travel,Ola,13272.36,UPI
TXN00557,2025-01-02,Expense,Other,Myntra,5999.36,Debit Card
TXN01245,2025-01-02,Income,Freelance,Bank,30485.67,Credit Card
TXN01120,2025-01-02,Expense,Shopping,Spotify,4413.69,Credit Card
TXN01603,2025-01-02,Expense,Education,College,7472.69,UPI
TXN01391,2025-01-03,Expense,Groceries,Amazon,4487.73,Cash
TXN00967,2025-01-03,Expense,Other,Jio,45573.98,UPI
TXN01976,2025-01-03,Expense,Shopping,Flipkart,6671.18,Credit Card
TXN00972,2025-01-03,Income,Freelance,Investment Account,18577.39,Credit Card
TXN00510,2025-01-03,Expense,Transport,IRCTC,9366.99,UPI
TXN00214,2025-01-03,Expense,Entertainment,BigBasket,1623.69,Cash
TXN01068,2025-01-03,Expense,Entertainment,Jio,3136.16,Cash
TXN00359,2025-01-03,Expense,Healthcare,IRCTC,7323.91,UPI
TXN00031,2025-01-03,Expense,Food,BigBasket,1786.51,Bank Transfer
TXN00021,2025-01-04,Expense,Bills,Electricity Board,7241.75,UPI
TXN01817,2025-01-04,Expense,Bills,Uber,7321.85,Debit Card
TXN01846,2025-01-04,Expense,Entertainment,Ola,4233.0,UPI
TXN00425,2025-01-04,Expense,Entertainment,Hospital,2429.12,Credit Card
TXN00084,2025-01-04,Expense,Transport,Electricity Board,2268.07,UPI
TXN00223,2025-01-04,Income,Investment,Bank,9780.52,Debit Card
TXN00674,2025-01-05,Expense,Entertainment,College,1052.54,UPI
TXN00731,2025-01-05,Expense,Healthcare,Spotify,10253.43,Credit Card
TXN01192,2025-01-05,Expense,Shopping,Uber,14549.76,Bank Transfer
TXN00501,2025-01-05,Expense,Bills,Airtel,3940.76,Bank Transfer
TXN00416,2025-01-05,Expense,Transport,Netflix,616.44,Cash
TXN01422,2025-01-05,Income,Freelance,Client,34325.4,Debit Card
TXN00187,2025-01-06,Expense,Bills,Ola,1270.91,UPI
TXN00747,2025-01-06,Expense,Groceries,Airtel,13216.28,Cash
TXN00502,2025-01-06,Expense,Groceries,Zomato,9715.88,Cash
TXN00918,2025-01-06,Income,Freelance,Client,16207.62,Credit Card
TXN01675,2025-01-06,Expense,Entertainment,College,14758.21,Debit Card
TXN00059,2025-01-07,Expense,Groceries,Airtel,8792.56,Debit Card
TXN01446,2025-01-07,Expense,Travel,Swiggy,4408.72,Credit Card
TXN01477,2025-01-07,Expense,Bills,Electricity Board,12786.05,UPI
TXN00894,2025-01-07,Expense,Other,Netflix,1094.59,UPI
TXN00857,2025-01-07,Expense,Transport,BookMyShow,7240.09,Credit Card
TXN00859,2025-01-07,Expense,Entertainment,College,4774.68,UPI
TXN01856,2025-01-08,Expense,Transport,Flipkart,24889.15,UPI
TXN00654,2025-01-08,Income,Salary,Client,52753.73,Cash
TXN01181,2025-01-08,Expense,Shopping,Myntra,4981.7,Credit Card
TXN00680,2025-01-08,Expense,Groceries,College,14811.11,UPI
TXN00210,2025-01-08,Expense,Entertainment,Flipkart,14355.79,Bank Transfer
TXN01981,2025-01-08,Expense,Shopping,Airtel,5494.04,Bank Transfer
TXN01137,2025-01-09,Expense,Other,Netflix,1170.16,Debit Card
TXN00378,2025-01-09,Income,Salary,Company,17741.04,Bank Transfer
TXN01711,2025-01-09,Expense,Food,College,13789.08,Credit Card
TXN00117,2025-01-09,Expense,Healthcare,Jio,3592.16,Credit Card
TXN00657,2025-01-10,Expense,Travel,College,12970.0,Bank Transfer
